cluster,station_name,state,district,date_of_record,avg_temp,min_temp,max_temp,relative_humidity,wind_speed,air_pressure,rainfall,elevation,latitude,longitude,is_injected,anomaly_category,anomaly_type,affected_feature,severity,anomaly_id,event_start,event_end,description,original_value,modified_value,avg_temp_rolling_mean_7d,avg_temp_rolling_std_7d,air_pressure_rolling_mean_7d,air_pressure_rolling_std_7d,relative_humidity_rolling_mean_7d,relative_humidity_rolling_std_7d
Punjab Plains,Ambala,HR,Ambala,2021-01-01,9.1,4.4,13.6,78.40020846375421,,,,271,30.3833,76.7667,False,NORMAL,,,,,,,,,,,,,,,
Punjab Plains,Ambala,HR,Ambala,2021-01-02,11.8,5.7,14.6,75.500032248075,5.8,940.0,2.0,271,30.3833,76.7667,True,SENSOR_FAULT,SUDDEN_SPIKE,air_pressure,HIGH,EVT_3FAE50AB,,,Sudden 60% spike in air_pressure — likely sensor glitch,1017.4,940.0,,,,,,
Punjab Plains,Ambala,HR,Ambala,2021-01-03,14.6,9.4,20.0,73.0377729991541,11.5,1015.1,7.9,271,30.3833,76.7667,False,NORMAL,,,,,,,,,,11.833333333333334,2.750151510977775,,,75.64600457032778,2.684196242294546
Punjab Plains,Ambala,HR,Ambala,2021-01-04,18.1,11.2,23.2,64.93405897574918,9.1,1016.9,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,,,13.4,3.8548670534792784,990.6666666666666,43.88784949542797,72.96801817168313,5.78703011772029
Punjab Plains,Ambala,HR,Ambala,2021-01-05,16.2,14.5,24.1,67.40029529958203,13.2,1016.4,0.3,271,30.3833,76.7667,False,NORMAL,,,,,,,,,,13.959999999999999,3.56552941370563,997.1,38.074225752688264,71.85447359726291,5.5961768899539654
Punjab Plains,Ambala,HR,Ambala,2021-01-09,13.8,9.6,19.6,71.1009203129113,9.7,1016.3,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,,,13.933333333333332,3.189775331691352,1000.9399999999999,34.072907125750255,71.7288813832043,5.014817748664124
Punjab Plains,Ambala,HR,Ambala,2021-01-10,10.8,7.5,19.4,75.20261964132098,10.5,1016.6,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,,,13.485714285714286,3.1434739654446924,1003.5500000000001,31.139091187765942,72.2251297057924,4.762439955243294
Punjab Plains,Ambala,HR,Ambala,2021-01-11,10.8,7.5,16.2,73.47415364658808,10.6,1016.8,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,,,13.72857142857143,2.7944673229521984,1005.4428571428572,28.86375218983479,71.52140758905439,4.000976867764766
Punjab Plains,Ambala,HR,Ambala,2021-01-12,9.8,5.6,16.6,76.04285316409334,10.7,1016.8,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,,,13.442857142857141,3.1090497706197118,1016.4142857142857,0.62029179001986,71.59895343419986,4.095094988363309
Punjab Plains,Ambala,HR,Ambala,2021-01-13,9.4,6.2,12.6,73.93671163645348,7.9,1016.2,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,,,12.700000000000001,3.3946035605550966,1016.5714285714286,0.275162289782716,71.72737323952835,4.161295630153635
Punjab Plains,Ambala,HR,Ambala,2021-01-14,8.7,3.1,13.5,76.986396265786,4.2,1017.3,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,,,11.35714285714286,2.6881574500371954,1016.6285714285714,0.3773340063990342,73.44913570953359,3.2826622938205436
Punjab Plains,Ambala,HR,Ambala,2021-01-15,11.3,4.8,17.4,71.28337898788693,3.6,1015.4,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,,,10.657142857142858,1.657163382467304,1016.4857142857144,0.6011892975034819,74.00386195072001,2.258436548636239
