cluster,station_name,state,district,date_of_record,avg_temp,min_temp,max_temp,relative_humidity,wind_speed,air_pressure,rainfall,elevation,latitude,longitude,is_injected,anomaly_category,anomaly_type,affected_feature,severity,anomaly_id,event_start,event_end,description,original_value,modified_value,avg_temp_rolling_mean_7d,avg_temp_rolling_std_7d,air_pressure_rolling_mean_7d,air_pressure_rolling_std_7d,relative_humidity_rolling_mean_7d,relative_humidity_rolling_std_7d,physics_flag,physics_severity,physics_reasons
Punjab Plains,Ambala,HR,Ambala,2021-01-01,9.1,4.4,13.6,78.40020846375421,,,,271,30.3833,76.7667,False,NORMAL,,,,,,,,,,,,,,,,PASS,,[]
Punjab Plains,Ambala,HR,Ambala,2021-01-02,11.8,5.7,14.6,75.500032248075,5.8,940.0,2.0,271,30.3833,76.7667,True,SENSOR_FAULT,SUDDEN_SPIKE,air_pressure,HIGH,EVT_12E0787A,,,Sudden 60% spike in air_pressure — likely sensor glitch,1017.4,940.0,,,,,,,VIOLATION,LOW,"['air_pressure=940.00 is outside the typical range [970.0, 1040.0]']"
Punjab Plains,Ambala,HR,Ambala,2021-01-03,14.6,9.4,20.0,73.0377729991541,11.5,1015.1,7.9,271,30.3833,76.7667,False,NORMAL,,,,,,,,,,11.833333333333334,2.750151510977775,,,75.64600457032778,2.684196242294546,VIOLATION,MEDIUM,['air_pressure jumped 75.10 in 1 day (limit 15.0)']
Punjab Plains,Ambala,HR,Ambala,2021-01-04,18.1,11.2,23.2,64.93405897574918,9.1,1016.9,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,,,13.4,3.8548670534792784,990.6666666666666,43.88784949542797,72.96801817168313,5.78703011772029,PASS,,[]
Punjab Plains,Ambala,HR,Ambala,2021-01-05,16.2,14.5,24.1,67.40029529958203,13.2,1016.4,0.3,271,30.3833,76.7667,False,NORMAL,,,,,,,,,,13.96,3.56552941370563,997.1,38.07422575268826,71.85447359726291,5.596176889953965,PASS,,[]
Punjab Plains,Ambala,HR,Ambala,2021-01-09,13.8,9.6,19.6,71.1009203129113,9.7,1016.3,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,,,13.933333333333332,3.189775331691352,1000.94,34.072907125750255,71.7288813832043,5.014817748664124,PASS,,[]
Punjab Plains,Ambala,HR,Ambala,2021-01-10,10.8,7.5,19.4,75.20261964132098,10.5,1016.6,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,,,13.485714285714286,3.1434739654446924,1003.55,31.139091187765946,72.2251297057924,4.762439955243294,PASS,,[]
Punjab Plains,Ambala,HR,Ambala,2021-01-11,10.8,7.5,16.2,73.47415364658808,10.6,1016.8,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,,,13.72857142857143,2.7944673229521984,1005.4428571428572,28.86375218983479,71.52140758905439,4.000976867764766,PASS,,[]
Punjab Plains,Ambala,HR,Ambala,2021-01-12,9.8,5.6,16.6,76.04285316409334,10.7,1016.8,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,,,13.44285714285714,3.109049770619712,1016.4142857142856,0.62029179001986,71.59895343419986,4.095094988363309,PASS,,[]
Punjab Plains,Ambala,HR,Ambala,2021-01-13,9.4,6.2,12.6,73.93671163645348,7.9,1016.2,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,,,12.7,3.3946035605550966,1016.5714285714286,0.275162289782716,71.72737323952835,4.161295630153635,PASS,,[]
Punjab Plains,Ambala,HR,Ambala,2021-01-14,8.7,3.1,13.5,76.986396265786,4.2,1017.3,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,,,11.35714285714286,2.6881574500371954,1016.6285714285714,0.3773340063990342,73.44913570953359,3.282662293820544,PASS,,[]
Punjab Plains,Ambala,HR,Ambala,2021-01-15,11.3,4.8,17.4,71.28337898788693,3.6,1015.4,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,,,10.657142857142858,1.657163382467304,1016.4857142857144,0.6011892975034819,74.00386195072001,2.258436548636239,PASS,,[]
Punjab Plains,Ambala,HR,Ambala,2021-01-16,9.2,5.0,18.3,74.05518389285852,5.7,1014.1,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,,,10.0,0.9746794344808956,1016.1714285714286,1.0904346009970882,74.4258996049982,1.8677958124982816,PASS,,[]
Punjab Plains,Ambala,HR,Ambala,2021-01-17,12.5,6.6,17.4,68.68597900290986,9.6,1016.2,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,,,10.242857142857144,1.347661113258995,1016.1142857142856,1.0745984853730015,73.49495094236804,2.805016452696828,PASS,,[]
Punjab Plains,Ambala,HR,Ambala,2021-01-18,15.1,7.5,21.4,65.81448048216208,6.1,1017.3,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,,,10.857142857142858,2.292638322149936,1016.1857142857144,1.1422617496729723,72.4007119188786,4.037664020988172,PASS,,[]
Punjab Plains,Ambala,HR,Ambala,2021-01-19,16.4,9.3,20.2,65.20591855137069,10.6,1013.9,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,,,11.8,3.0254476252834603,1015.7714285714286,1.3828886261680513,70.85257840277538,4.463541597273792,PASS,,[]
Punjab Plains,Ambala,HR,Ambala,2021-01-20,13.8,9.5,20.7,72.88246209596797,15.9,1013.7,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,,,12.428571428571429,2.898111043256903,1015.4142857142858,1.5646390120724902,70.70197132556315,4.35868852803278,PASS,,[]
Punjab Plains,Ambala,HR,Ambala,2021-01-21,12.8,7.9,19.2,71.99423187168648,14.7,1012.8,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,,,13.014285714285714,2.3884643402742904,1014.7714285714286,1.5850491955724846,69.98880498354893,3.478617804447766,PASS,,[]
Punjab Plains,Ambala,HR,Ambala,2021-01-22,12.6,7.9,19.5,70.65705979768211,9.5,1015.2,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,,,13.2,2.2810816147900823,1014.7428571428572,1.5735915849401692,69.89933081351968,3.447687491413954,PASS,,[]
Punjab Plains,Ambala,HR,Ambala,2021-01-23,15.5,10.1,19.6,69.38911682871911,13.0,1013.2,5.9,271,30.3833,76.7667,False,NORMAL,,,,,,,,,,14.099999999999998,1.5726834816113917,1014.6142857142858,1.668760589409389,69.2327498043569,2.9211352254307514,PASS,,[]
Punjab Plains,Ambala,HR,Ambala,2021-01-24,12.3,9.9,20.3,71.50534143736562,6.3,1016.4,3.2,271,30.3833,76.7667,False,NORMAL,,,,,,,,,,14.071428571428571,1.608015636029165,1014.6428571428572,1.7018197543202156,69.63551586642201,3.0256778014014274,PASS,,[]
